Description,Price,Rating,Review_Count,URL
"Quantum SonoTrix X True Wireless Earbuds TWS, 6 Hours Playback 42 Hours with Charging Case, Bluetooth 5.0, IPX5 Sweatproof, Touch Controls, Voice Assistance, Dual Mic, Type-C Fast Charging (Blue)",₹899,3.9 out of 5 stars,288,https://www.amazon.in/Quantum-SonoTrix-Bluetooth-Sweatproof-Assistance/dp/B09C1XK16C/ref=sr_1_42?dchild=1&keywords=boat+tws&qid=1633528260&sr=8-42
"Redmi Earbuds 3 Pro, Blue, High Definition Wireless Audio with Qualcomm chipset, Dual Drivers, Up to 30 Hours Battery Life, IPX4 Splash & Sweat Proof","₹2,499",3.5 out of 5 stars,37,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A092712939SUTV02LJDD4&url=%2FRedmi-Earbuds-Definition-Wireless-Qualcomm%2Fdp%2FB09DT9HFK6%2Fref%3Dsr_1_43_sspa%3Fdchild%3D1%26keywords%3Dboat%2Btws%26qid%3D1633528260%26sr%3D8-43-spons%26psc%3D1&qualifier=1633528260&id=6304375423446129&widgetName=sp_mtf
"Redmi Earbuds 2C in-Ear Truly Wireless Earphones with Environment Noise Cancellation, 12hrs Battery Life & IPX4 Splash Proof",₹899,3.6 out of 5 stars,"19,421",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A0222676IIUT4CZT6Q1H&url=%2FRedmi-Earbuds-Truly-Wireless-Earphones%2Fdp%2FB08J4GWSSG%2Fref%3Dsr_1_44_sspa%3Fdchild%3D1%26keywords%3Dboat%2Btws%26qid%3D1633528260%26sr%3D8-44-spons%26psc%3D1&qualifier=1633528260&id=6304375423446129&widgetName=sp_mtf
"boAt Airdopes 201 True Wireless Earbuds with Up to 15H Total Playback, IPX4 Water Resistance, Secure Fit Earhooks, Immersive Audio and BT V5.0(Active Black)","₹1,499",3.6 out of 5 stars,"7,215",https://www.amazon.in/Airdopes-201-Wireless-Resistance-Assistant/dp/B07VTQGCF4/ref=sr_1_45?dchild=1&keywords=boat+tws&qid=1633528260&sr=8-45
"pTron Bassbuds Duo New Bluetooth 5.1 Wireless Headphones, Stereo Audio, Touch Control TWS, Dual HD Mic, Type-C Fast Charging, IPX4 Water-Resistant, Passive Noise Cancelling & Voice Assistant (Black)",₹699,4.7 out of 5 stars,547,https://www.amazon.in/Bassbuds-Duo-Headphones-Water-Resistant-Cancelling/dp/B09DD9SX9Z/ref=sr_1_46?dchild=1&keywords=boat+tws&qid=1633528260&sr=8-46
"boAt Airdopes 441 Pro TWS Ear-Buds with IWP Technology, Up to 150H Playback with Case, Power Bank Function, IPX7 Water Resistance, Super Touch Controls, Secure Sports Fit & Type-C Port(Sporty Blue)","₹2,499",4.0 out of 5 stars,"102,497",https://www.amazon.in/Airdopes-441-Pro-Technology-Resistance/dp/B08CVRWH1S/ref=sr_1_47?dchild=1&keywords=boat+tws&qid=1633528260&sr=8-47
"boAt Airdopes 441 TWS Ear-Buds with IWP Technology, Immersive Audio, Up to 30H Total Playback, IPX7 Water Resistance, Super Touch Controls, Secure Sports Fit & Type-C Port(CSK Blue)","₹1,999",4.0 out of 5 stars,"102,497",https://www.amazon.in/boAt-Airdopes-441-Wireless-Bluetooth/dp/B08ZXSG2CK/ref=sr_1_48?dchild=1&keywords=boat+tws&qid=1633528260&smid=A14CZOWI0VEHLG&sr=8-48
"pTron Bassbuds Pro (New) in-Ear True Wireless Bluetooth 5.1 Headphones with Deep Bass, Low Latency Gaming Earbuds, Touch Control, IPX4 Water/Sweat Resistance & Earphones with Built-in Mic - (Black)",₹999,3.6 out of 5 stars,"14,702",https://www.amazon.in/Bassbuds-Pro-Bluetooth-Headphones-Resistance/dp/B08S16DMFH/ref=sr_1_49?dchild=1&keywords=boat+tws&qid=1633528260&sr=8-49
"Ambrane NeoBuds 33 True Wireless in Ear Earbuds TWS with 15 Hours Total Playtime, High Bass Immersive Sound, Touch Controls, IPX4 Waterproof, Voice Assistance & with Mic (Indigo Blue), Normal",₹599,3.5 out of 5 stars,"2,237",https://www.amazon.in/Ambrane-Wireless-Immersive-Waterproof-Assistance/dp/B08SJ8VCMB/ref=sr_1_50?dchild=1&keywords=boat+tws&qid=1633528260&sr=8-50
"pTron Bassbuds Duo New Bluetooth 5.1 Wireless Headphones, Stereo Audio, Touch Control TWS, Dual HD Mic, Type-C Fast Charging, IPX4 Water-Resistant, Passive Noise Cancelling & Voice Assistant (White)",₹699,4.7 out of 5 stars,547,https://www.amazon.in/Bassbuds-Duo-Headphones-Water-Resistant-Cancelling/dp/B09DDBN1YH/ref=sr_1_51?dchild=1&keywords=boat+tws&qid=1633528260&sr=8-51
"Noise Buds VS103 - Truly Wireless Earbuds with 18-Hour Playtime, HyperSync Technology, Full Touch Controls and Voice Assistant (Pearl White)",₹899,3.8 out of 5 stars,"2,173",https://www.amazon.in/Noise-Buds-VS103-HyperSync-Technology/dp/B095YZB3MS/ref=sr_1_52?dchild=1&keywords=boat+tws&qid=1633528260&sr=8-52
CROSSBEATS Torq Touch True Wireless Earbuds Auto in-Ear Detection TWS Earphones | Wireless Charging | 4 ENC Microphone with AptX 72 Hours Playtime 18mm Drivers IPX4 Rated Super Bass,"₹4,499",4.0 out of 5 stars,"2,458",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg3_1?ie=UTF8&adId=A0672871150J3XSFCR0R0&url=%2FCROSSBEATS-Wireless-Earphones-Headphones-Detection%2Fdp%2FB088PBRW6L%2Fref%3Dsr_1_53_sspa%3Fdchild%3D1%26keywords%3Dboat%2Btws%26qid%3D1633528260%26sr%3D8-53-spons%26psc%3D1&qualifier=1633528260&id=6304375423446129&widgetName=sp_btf
"Noise Buds VS103 - Truly Wireless Earbuds with 18-Hour Playtime, HyperSync Technology, Full Touch Controls and Voice Assistant (Jet Black)",₹899,3.8 out of 5 stars,"2,173",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg3_1?ie=UTF8&adId=A0833791XRCVUTXEUUW9&url=%2FNoise-Buds-VS103-HyperSync-Technology%2Fdp%2FB095Z1NBK6%2Fref%3Dsr_1_54_sspa%3Fdchild%3D1%26keywords%3Dboat%2Btws%26qid%3D1633528260%26sr%3D8-54-spons%26psc%3D1&qualifier=1633528260&id=6304375423446129&widgetName=sp_btf
"boAt Airdopes 441 Pro TWS Ear-Buds with IWP Technology, Up to 150H Playback with Case, Power Bank Function, IPX7 Water Resistance, Super Touch Controls, Secure Sports Fit & Type-C Port(Raging Red)","₹2,499",4.0 out of 5 stars,"102,497",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A1043444ZCMRRYXB5H4R&url=%2FAirdopes-441-Pro-Technology-Resistance%2Fdp%2FB08CVSGR81%2Fref%3Dsr_1_49_sspa%3Fdchild%3D1%26keywords%3Dboat%2Btws%26qid%3D1633528264%26sr%3D8-49-spons%26psc%3D1&qualifier=1633528264&id=6229265161498995&widgetName=sp_atf_next
"Redmi Earbuds 3 Pro, White, High Definition Wireless Audio with Qualcomm chipset, Dual Drivers, Up to 30 Hours Battery Life, IPX4 Splash & Sweat Proof","₹2,499",3.5 out of 5 stars,37,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A09272293UYWAU4PC6T4W&url=%2FRedmi-Earbuds-Definition-Wireless-Qualcomm%2Fdp%2FB09DT9P8BY%2Fref%3Dsr_1_50_sspa%3Fdchild%3D1%26keywords%3Dboat%2Btws%26qid%3D1633528264%26sr%3D8-50-spons%26psc%3D1&qualifier=1633528264&id=6229265161498995&widgetName=sp_atf_next
boAt Airdopes 441 Masaba Edition TWS Ear-Buds (Aztec Fusion),"₹2,199",4.0 out of 5 stars,"102,497",https://www.amazon.in/boAt-Airdopes-441-Masaba-Ear-Buds/dp/B08T5P74J1/ref=sr_1_52?dchild=1&keywords=boat+tws&qid=1633528264&smid=A14CZOWI0VEHLG&sr=8-52
(Renewed) boAt Airdopes 431 Twin Wireless Ear-Buds with Mic(Black),"₹1,499",3.7 out of 5 stars,9,https://www.amazon.in/Renewed-boAt-Airdopes-Wireless-Ear-Buds/dp/B097TW3F38/ref=sr_1_53?dchild=1&keywords=boat+tws&qid=1633528264&sr=8-53
"MARVIK® Twins7s Compatible True Wireless Pocket Friendly TWS Bluetooth Wireless Headset with in-Built Dual Mic Compatible with Smartphones, Tablets & Laptops",₹487,3.4 out of 5 stars,66,https://www.amazon.in/Compatible-Wireless-Friendly-Bluetooth-Smartphones/dp/B09BQ3K5RB/ref=sr_1_54?dchild=1&keywords=boat+tws&qid=1633528264&sr=8-54
"(Renewed) boAt Airdopes 381 with ASAP charge Bluetooth Headset  (Blue, True Wireless)","₹1,499",2.8 out of 5 stars,17,https://www.amazon.in/boAt-Airdopes-Bluetooth-Headset-Wireless/dp/B09BFV6CXV/ref=sr_1_55?dchild=1&keywords=boat+tws&qid=1633528264&sr=8-55
"boAt Airdopes 441 TWS Ear-Buds with IWP Technology, Immersive Audio, Up to 30H Total Playback, IPX7 Water Resistance, Super Touch Controls, Secure Sports Fit & Type-C Port(Bumblebee Yellow)","₹1,799",4.0 out of 5 stars,"102,497",https://www.amazon.in/Airdopes-441-Technology-Immersive-Resistance/dp/B086WP5TGR/ref=sr_1_56?dchild=1&keywords=boat+tws&qid=1633528264&smid=A14CZOWI0VEHLG&sr=8-56
"Cloud Seller i12 TWS Bluetooth Earphones Touch Sensor with in Built Mic and High Bass Level Supporting All Smart Phone & Device (White, Battery Life 2-3 Hours)",₹390,3.7 out of 5 stars,3,https://www.amazon.in/Seller-Bluetooth-Earphones-Supporting-Battery/dp/B099RXRWGM/ref=sr_1_57?dchild=1&keywords=boat+tws&qid=1633528264&sr=8-57
boAt Bassheads 242 in Ear Wired Earphones with Mic(Orange),₹399,4.1 out of 5 stars,"84,770",https://www.amazon.in/Bassheads-242-Wired-Earphones-Orange/dp/B08GG86P52/ref=sr_1_58?dchild=1&keywords=boat+tws&qid=1633528264&sr=8-58
Wings PowerPods Upgraded 150 Hours Playtime True Wireless in-Ear Earbuds Earphones Headphones ; Gaming Mode ; PowerBank Function,"₹2,399",3.8 out of 5 stars,"3,182",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg4_1?ie=UTF8&adId=A07968791WPV8X2M3NJDX&url=%2FWings-PowerPods-Bluetooth-Earphones-Headphones%2Fdp%2FB07WW5BGPB%2Fref%3Dsr_1_59_sspa%3Fdchild%3D1%26keywords%3Dboat%2Btws%26qid%3D1633528264%26sr%3D8-59-spons%26psc%3D1&qualifier=1633528264&id=6229265161498995&widgetName=sp_mtf
AirJams Pro True Wireless Earbuds Bluetooth 5.1 Earphones | HD Mics | 40 Hour Playtime | Lag Free Gaming | IPX5 Water Resistance | Smart Touch Controls | LED Battery Display| by Fur Jaden (Black),"₹1,499",5.0 out of 5 stars,12,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg4_1?ie=UTF8&adId=A085484221WHTBFFP6C76&url=%2FWireless-Bluetooth-Earphones-Playtime-Resistance%2Fdp%2FB09G38L8YD%2Fref%3Dsr_1_60_sspa%3Fdchild%3D1%26keywords%3Dboat%2Btws%26qid%3D1633528264%26sr%3D8-60-spons%26psc%3D1&qualifier=1633528264&id=6229265161498995&widgetName=sp_mtf
"pTron Bassbuds Lite V2 Bluetooth 5.1 Wireless Headphone, 20Hrs Total Playtime with Case, Punchy Bass, Touch Control, HD Mic, IPX4 Water Resistant, Passive Noise Cancellation & Voice Assistant (Black)",₹799,4.6 out of 5 stars,150,https://www.amazon.in/Bassbuds-Lite-V2-Bluetooth-Cancellation/dp/B09BLCJZ2K/ref=sr_1_61?dchild=1&keywords=boat+tws&qid=1633528264&sr=8-61
EDICT by Boat Dynapulse ETWS01 Truly Wireless Bluetooth in Ear Earbuds with Mic (Black),₹879,3.5 out of 5 stars,"1,025",https://www.amazon.in/EDICT-Dynapulse-ETWS01-Wireless-Bluetooth/dp/B095K5H5CG/ref=sr_1_62?dchild=1&keywords=boat+tws&qid=1633528264&sr=8-62
"pTron Bassbuds Vista in-Ear True Wireless Bluetooth 5.1 Headphones with Deep Bass, IPX4 Water/Sweat Resistant, Passive Noise Cancelation, Voice Assistance & Earbuds with Built-in HD Mic (Dark Grey)",₹749,3.5 out of 5 stars,"11,484",https://www.amazon.in/Bassbuds-Vista-Headphones-Cancelation-Assistance/dp/B094NTQTK8/ref=sr_1_63?dchild=1&keywords=boat+tws&qid=1633528264&sr=8-63
"pTron Bassbuds Plus True Wireless Bluetooth 5.0 Headphones with Deep Bass, Made in India, IPX4 Water/Sweat Resistant, Passive Noise Canceling TWS Earbuds, Digital Display & Built-in Mic (Blue & Black)",₹699,3.7 out of 5 stars,"3,272",https://www.amazon.in/Bassbuds-Plus-Wireless-Stereo-Headphones/dp/B08DB8Z972/ref=sr_1_64?dchild=1&keywords=boat+tws&qid=1633528264&sr=8-64
"pTron Bassbuds Vista in-Ear True Wireless Bluetooth 5.1 Headphones with Deep Bass, IPX4 Water/Sweat Resistant, Passive Noise Cancelation, Voice Assistance & Earbuds with Built-in HD Mic - (Black)",₹749,3.5 out of 5 stars,"11,484",https://www.amazon.in/Bassbuds-Vista-Headphones-Cancelation-Assistance/dp/B08S18HVD5/ref=sr_1_65?dchild=1&keywords=boat+tws&qid=1633528264&sr=8-65
"boAt Airdopes 441 TWS Ear-Buds with IWP Technology, Immersive Audio, Up to 30H Total Playback, IPX7 Water Resistance, Super Touch Controls, Secure Sports Fit & Type-C Port(Thunder Purple)","₹1,999",4.0 out of 5 stars,"102,497",https://www.amazon.in/boAt-Airdopes-441-Wireless-Bluetooth/dp/B08ZYDW59D/ref=sr_1_66?dchild=1&keywords=boat+tws&qid=1633528264&smid=A14CZOWI0VEHLG&sr=8-66
"pTron Bassbuds Jade Gaming True Wireless Headphone with 40Hrs Total Playtime with Case, Low Latency, Deep Bass, BT5.0, Touch Control, Dual Mic, Passive Noise Cancellation & IPX4 Waterproof (Black)","₹1,499",4.3 out of 5 stars,388,https://www.amazon.in/Bassbuds-Jade-Headphone-Cancellation-Waterproof/dp/B09BNZLTDZ/ref=sr_1_67?dchild=1&keywords=boat+tws&qid=1633528264&sr=8-67
"boAt Airdopes 441 Pro TWS Ear-Buds with IWP Technology, Up to 150H Playback with Case, Power Bank Function, IPX7 Water Resistance, Super Touch Controls, Secure Sports Fit & Type-C Port(Spirit Lime)","₹2,499",4.0 out of 5 stars,"102,497",https://www.amazon.in/Airdopes-441-Pro-Technology-Resistance/dp/B08CVTT65T/ref=sr_1_68?dchild=1&keywords=boat+tws&qid=1633528264&sr=8-68
"pTron Bassbuds Sports True Wireless Bluetooth 5.1 Headphones with Deep Bass, 32Hrs Total Playtime, Ergonomic Hook Design & IPX4 Water/Sweat Resistant Earphones with Built-in HD Mic (Black & Blue)",₹999,3.6 out of 5 stars,"2,878",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg4_1?ie=UTF8&adId=A0083921F5MK01V34KYT&url=%2FBassbuds-Sports-Bluetooth-Headphones-Ergonomic%2Fdp%2FB0924TRKS5%2Fref%3Dsr_1_69_sspa%3Fdchild%3D1%26keywords%3Dboat%2Btws%26qid%3D1633528264%26sr%3D8-69-spons%26psc%3D1&qualifier=1633528264&id=6229265161498995&widgetName=sp_btf
"Ambrane Dots 38 True Wireless Earbuds TWS with Pure HD Bass, 16H Playtime, IPX4 Waterproof, Responsive Touch Sensors for Multifunctions, Compact Type-C Charging Case (Green), Normal",₹799,3.5 out of 5 stars,"1,762",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg4_1?ie=UTF8&adId=A04722613PZMG8Y67HWHD&url=%2FAmbrane-Wireless-Waterproof-Responsive-Multifunctions%2Fdp%2FB0995RZPQV%2Fref%3Dsr_1_70_sspa%3Fdchild%3D1%26keywords%3Dboat%2Btws%26qid%3D1633528264%26sr%3D8-70-spons%26psc%3D1&qualifier=1633528264&id=6229265161498995&widgetName=sp_btf
"boAt Airdopes 441 Pro TWS Ear-Buds with IWP Technology, Up to 150H Playback with Case, Power Bank Function, IPX7 Water Resistance, Super Touch Controls, Secure Sports Fit & Type-C Port(Spirit Lime)","₹2,499",4.0 out of 5 stars,"102,497",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg5_1?ie=UTF8&adId=A10432883JCW59G9AMNXE&url=%2FAirdopes-441-Pro-Technology-Resistance%2Fdp%2FB08CVTT65T%2Fref%3Dsr_1_65_sspa%3Fdchild%3D1%26keywords%3Dboat%2Btws%26qid%3D1633528268%26sr%3D8-65-spons%26psc%3D1&qualifier=1633528268&id=6892777772120231&widgetName=sp_atf_next
"Redmi Earbuds 3 Pro, Pink, High Definition Wireless Audio with Qualcomm chipset, Dual Drivers, Up to 30 Hours Battery Life, IPX4 Splash & Sweat Proof","₹2,499",3.5 out of 5 stars,37,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg5_1?ie=UTF8&adId=A09270412HQ19PNDK520V&url=%2FRedmi-Earbuds-Definition-Wireless-Qualcomm%2Fdp%2FB09DT8R4P8%2Fref%3Dsr_1_66_sspa%3Fdchild%3D1%26keywords%3Dboat%2Btws%26qid%3D1633528268%26sr%3D8-66-spons%26psc%3D1&qualifier=1633528268&id=6892777772120231&widgetName=sp_atf_next
"pTron Bassbuds Lite V2 Bluetooth 5.1 Wireless Headphone, 20Hrs Total Playtime with Case, Punchy Bass, Touch Control, HD Mic, IPX4 Water Resistant, Passive Noise Cancellation & Voice Assistant (White)",₹799,4.6 out of 5 stars,232,https://www.amazon.in/Bassbuds-Lite-V2-Bluetooth-Cancellation/dp/B09BLDCK38/ref=sr_1_67?dchild=1&keywords=boat+tws&qid=1633528268&sr=8-67
"boAt Rockerz 255 in-Ear Earphones with 8 Hours Battery, IPX5, Bluetooth V5.0 and Voice Assistant(Blue Ocean)",₹799,4.1 out of 5 stars,"347,141",https://www.amazon.in/Rockerz-255-Bluetooth-Wireless-Immersive/dp/B07T8GQV54/ref=sr_1_68?dchild=1&keywords=boat+tws&qid=1633528268&sr=8-68
"Boult Audio Encore TWS Earbuds, Quad mics for Pro+ Calling, 36H Playtime, Environmental Noise Cancellation, IPX7 Fully Waterproof, Touch Controls, Type-C Fast Charging, Voice Assistant (Black)","₹2,126",3.8 out of 5 stars,364,https://www.amazon.in/Boult-Audio-Environmental-Cancellation-Waterproof/dp/B09C87VD7F/ref=sr_1_69?dchild=1&keywords=boat+tws&qid=1633528268&sr=8-69
"Wecool Moonwalk M3 Bluetooth in Ear True Wireless Earbuds with High Bass for Music Lovers, Touch Control Earpods with HD Stereo Sound, Digital Display, 24 Hours Battery, Anti Fall Sports Fit, BT 5.1","₹1,098",4.2 out of 5 stars,861,https://www.amazon.in/Wecool-Moonwalk-M3-Bluetooth-Wireless/dp/B09BVLNWSW/ref=sr_1_70?dchild=1&keywords=boat+tws&qid=1633528268&sr=8-70
Boult Audio AirBass FX1 Truly Wireless Bluetooth in Ear Earbuds with Mic (Blue),₹899,3.7 out of 5 stars,"7,153",https://www.amazon.in/Boult-Audio-AirBass-Wireless-Bluetooth/dp/B092VRTPF1/ref=sr_1_71?dchild=1&keywords=boat+tws&qid=1633528268&sr=8-71
"boAt Airdopes 441 TWS Ear-Buds with IWP Technology, Immersive Audio, Up to 30H Total Playback, IPX7 Water Resistance, Super Touch Controls, Secure Sports Fit & Type-C Port(MI Blue)","₹1,999",4.0 out of 5 stars,"102,497",https://www.amazon.in/boAt-Airdopes-441-Wireless-Bluetooth/dp/B08ZY1STSN/ref=sr_1_72?dchild=1&keywords=boat+tws&qid=1633528268&smid=A14CZOWI0VEHLG&sr=8-72
"Ambrane NeoBuds 33 True Wireless in Ear Earbuds TWS with Mic, 15 Hours Total Playtime, High Bass Immersive Sound, Touch Controls, IPX4 Waterproof, Voice Assistance & inbuilt Mic (Black), Normal",₹599,3.5 out of 5 stars,"2,237",https://www.amazon.in/Ambrane-Wireless-Immersive-Waterproof-Assistance/dp/B08SHK8T75/ref=sr_1_73?dchild=1&keywords=boat+tws&qid=1633528268&sr=8-73
OnePlus Buds Z (Gray),"₹2,999",4.2 out of 5 stars,"50,298",https://www.amazon.in/OnePlus-Buds-Z-Gray/dp/B08HLVKCKC/ref=sr_1_74?dchild=1&keywords=boat+tws&qid=1633528268&sr=8-74
"pTron Bassbuds Ultima ANC Active Noise Cancelling TWS, Bluetooth 5.0 Wireless Headphone with Immersive Sound, Deep Bass, HD Mic, Touch Control Earbuds, Voice Assistance & IPX4 Water-Resistant (Black)","₹1,399",3.7 out of 5 stars,"7,865",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg5_1?ie=UTF8&adId=A07140872TB5FRAIZK85L&url=%2FBassbuds-Ultima-Cancelling-Assistance-Water-Resistant%2Fdp%2FB097NGMCKX%2Fref%3Dsr_1_75_sspa%3Fdchild%3D1%26keywords%3Dboat%2Btws%26qid%3D1633528268%26sr%3D8-75-spons%26psc%3D1&qualifier=1633528268&id=6892777772120231&widgetName=sp_mtf
ZEBRONICS Zeb- Sound Bomb S1 Truly Wireless Bluetooth in Ear Earbuds with Mic (Black and Red),₹999,3.6 out of 5 stars,"1,061",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg5_1?ie=UTF8&adId=A01278922AYYW7BIMIT2V&url=%2FZebronics-Bomb-S1-Bluetooth-Supporting%2Fdp%2FB08D6V2N25%2Fref%3Dsr_1_76_sspa%3Fdchild%3D1%26keywords%3Dboat%2Btws%26qid%3D1633528268%26sr%3D8-76-spons%26psc%3D1&qualifier=1633528268&id=6892777772120231&widgetName=sp_mtf
"pTron Bassbuds Sports True Wireless Bluetooth 5.1 Headphones with Deep Bass, 32Hrs Total Playtime, Ergonomic Hook Design & IPX4 Water/Sweat Resistant Earphones with Built-in HD Mic (Black)",₹999,3.6 out of 5 stars,"2,878",https://www.amazon.in/Bassbuds-Sports-Bluetooth-Headphones-Ergonomic/dp/B0924VW867/ref=sr_1_77?dchild=1&keywords=boat+tws&qid=1633528268&sr=8-77
"Boult Audio Encore TWS Earbuds, Quad mics for Pro+ Calling, 36H Playtime, Environmental Noise Cancellation, IPX7 Fully Waterproof, Touch Controls, Type-C Fast Charging, Voice Assistant (White)","₹1,799",3.6 out of 5 stars,126,https://www.amazon.in/Boult-Audio-Environmental-Cancellation-Waterproof/dp/B09C8B5PHP/ref=sr_1_78?dchild=1&keywords=boat+tws&qid=1633528268&sr=8-78
boAt Airdopes 441 Bluetooth Truly Wireless Earbuds with Mic(Mint Green),"₹1,799",4.0 out of 5 stars,"102,497",https://www.amazon.in/Airdopes-441-Bluetooth-Wireless-Earbuds/dp/B08K3FNTB2/ref=sr_1_80?dchild=1&keywords=boat+tws&qid=1633528268&smid=A14CZOWI0VEHLG&sr=8-80
"pTron Bassbuds Jets True Wireless Bluetooth 5.0 Headphones, 20Hrs Total Playback with Case, Deep Bass, Touch Control, IPX4 Water Resistant, Voice Assistant, Built-in Mic & Digital Display (Black)",₹799,3.6 out of 5 stars,"73,438",https://www.amazon.in/Bassbuds-Jets-Bluetooth-Headphones-Resistant/dp/B08S1BCT5Q/ref=sr_1_81?dchild=1&keywords=boat+tws&qid=1633528268&sr=8-81
AirJams Pro True Wireless Earbuds Bluetooth 5.1 Earphones | HD Mics | 40 Hour Playtime | Lag Free Gaming | IPX5 Water Resistance | Smart Touch Controls | LED Battery Display| by Fur Jaden (Black),"₹1,499",5.0 out of 5 stars,12,https://www.amazon.in/Wireless-Bluetooth-Earphones-Playtime-Resistance/dp/B09G38L8YD/ref=sr_1_82?dchild=1&keywords=boat+tws&qid=1633528268&sr=8-82
"realme Buds Wireless 2 Neo (Green) Earphones with Type-C Fast Charge, Bass Boost+ & Magnetic Instant Connection","₹1,099",,,https://www.amazon.in/realme-Wireless-Earphones-Magnetic-Connection/dp/B09GG2NLB1/ref=sr_1_83?dchild=1&keywords=boat+tws&qid=1633528268&sr=8-83
"Ambrane Dots 38 True Wireless Earbuds TWS with Pure HD Bass, 16H Playtime, IPX4 Waterproof, Responsive Touch Sensors for Multifunctions, Compact Type-C Charging Case (White), Normal",₹799,3.5 out of 5 stars,"1,762",https://www.amazon.in/Ambrane-Wireless-Waterproof-Responsive-Multifunctions/dp/B08TTMH18W/ref=sr_1_84?dchild=1&keywords=boat+tws&qid=1633528268&sr=8-84
"pTron Bassbuds Vista in-Ear True Wireless Bluetooth 5.1 Headphones with Deep Bass, IPX4 Water/Sweat Resistant, Passive Noise Cancelation, Voice Assistance & Earbuds with Built-in HD Mic - (White)",₹749,3.5 out of 5 stars,"11,484",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg5_1?ie=UTF8&adId=A079737415IVZFK8XM1M7&url=%2FBassbuds-Vista-Headphones-Cancelation-Assistance%2Fdp%2FB08S16JKT8%2Fref%3Dsr_1_85_sspa%3Fdchild%3D1%26keywords%3Dboat%2Btws%26qid%3D1633528268%26sr%3D8-85-spons%26psc%3D1&qualifier=1633528268&id=6892777772120231&widgetName=sp_btf
Jabra Elite 85t True Wireless in Ear Earbuds with Mic - Jabra Advanced Active Noise Cancellation with Long Battery Life and Powerful Speakers - Wireless Charging Case - Titanium Black,"₹13,999",4.0 out of 5 stars,487,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg5_1?ie=UTF8&adId=A01579852SOQIDHJ6OUT0&url=%2FJabra-Elite-True-Wireless-Earbuds%2Fdp%2FB08K2XVVRS%2Fref%3Dsr_1_86_sspa%3Fdchild%3D1%26keywords%3Dboat%2Btws%26qid%3D1633528268%26sr%3D8-86-spons%26psc%3D1&qualifier=1633528268&id=6892777772120231&widgetName=sp_btf
